x,y,z,vx,vy,vz
3.079361849446436E-03,2.726314139192124E-01,1.447876134871367E-01,-3.333725331142244E-02,3.694452263113248E-04,3.313373844229318E-03
3.056210961703197E-03,2.726316692531349E-01,1.447899155651039E-01,-3.333730483494249E-02,3.659813901032140E-04,3.316548696223340E-03
3.033060032858708E-03,2.726319221846083E-01,1.447922198398344E-01,-3.333737136693329E-02,3.625259975264033E-04,3.319700991482431E-03
3.009909052576494E-03,2.726321727194527E-01,1.447945262957805E-01,-3.333745266504200E-02,3.590789256069370E-04,3.322831058824689E-03
2.986758010686076E-03,2.726324208634035E-01,1.447968349176206E-01,-3.333754849339693E-02,3.556400535693503E-04,3.325939221203851E-03
2.963606897178541E-03,2.726326666221129E-01,1.447991456902555E-01,-3.333765862242401E-02,3.522092627877002E-04,3.329025795847459E-03
2.940455702202229E-03,2.726329100011516E-01,1.448014585988041E-01,-3.333778282865003E-02,3.487864367302653E-04,3.332091094393263E-03
2.917304416058567E-03,2.726331510060101E-01,1.448037736286000E-01,-3.333792089453549E-02,3.453714609145802E-04,3.335135423019572E-03
2.894153029198004E-03,2.726333896421001E-01,1.448060907651874E-01,-3.333807260829427E-02,3.419642228562048E-04,3.338159082573874E-03
2.871001532216077E-03,2.726336259147557E-01,1.448084099943177E-01,-3.333823776373251E-02,3.385646120239587E-04,3.341162368696768E-03
2.847849915849583E-03,2.726338598292352E-01,1.448107313019456E-01,-3.333841616008459E-02,3.351725197929555E-04,3.344145571943198E-03
2.824698170972868E-03,2.726340913907219E-01,1.448130546742259E-01,-3.333860760186136E-02,3.317878394015374E-04,3.347108977899919E-03
2.801546288594210E-03,2.726343206043258E-01,1.448153800975102E-01,-3.333881189870093E-02,3.284104659082677E-04,3.350052867299987E-03
2.778394259852316E-03,2.726345474750845E-01,1.448177075583430E-01,-3.333902886522113E-02,3.250402961486261E-04,3.352977516134350E-03
2.755242076012908E-03,2.726347720079646E-01,1.448200370434591E-01,-3.333925832088751E-02,3.216772286971928E-04,3.355883195759903E-03
2.732089728465406E-03,2.726349942078630E-01,1.448223685397800E-01,-3.333950008986966E-02,3.183211638240916E-04,3.358770173005409E-03
2.708937208719711E-03,2.726352140796077E-01,1.448247020344110E-01,-3.333975400092093E-02,3.149720034603250E-04,3.361638710273832E-03
2.685784508403060E-03,2.726354316279594E-01,1.448270375146381E-01,-3.334001988724661E-02,3.116296511574312E-04,3.364489065642535E-03
2.662631619256981E-03,2.726356468576123E-01,1.448293749679250E-01,-3.334029758638623E-02,3.082940120523224E-04,3.367321492960534E-03
2.639478533134326E-03,2.726358597731951E-01,1.448317143819100E-01,-3.334058694009673E-02,3.049649928316941E-04,3.370136241943288E-03
2.616325241996378E-03,2.726360703792726E-01,1.448340557444038E-01,-3.334088779423725E-02,3.016425016963688E-04,3.372933558265027E-03
2.593171737910045E-03,2.726362786803461E-01,1.448363990433860E-01,-3.334119999866306E-02,2.983264483288795E-04,3.375713683648637E-03
2.570018013045122E-03,2.726364846808547E-01,1.448387442670028E-01,-3.334152340711642E-02,2.950167438589721E-04,3.378476855953202E-03
2.546864059671625E-03,2.726366883851765E-01,1.448410914035642E-01,-3.334185787713038E-02,2.917133008341445E-04,3.381223309259434E-03
2.523709870157197E-03,2.726368897976290E-01,1.448434404415414E-01,-3.334220326992238E-02,2.884160331849702E-04,3.383953273952578E-03
2.500555436964581E-03,2.726370889224708E-01,1.448457913695644E-01,-3.334255945030666E-02,2.851248561981537E-04,3.386666976803663E-03
2.477400752649156E-03,2.726372857639019E-01,1.448481441764194E-01,-3.334292628659656E-02,2.818396864844287E-04,3.389364641048218E-03
2.454245809856538E-03,2.726374803260649E-01,1.448504988510464E-01,-3.334330365051801E-02,2.785604419509179E-04,3.392046486463328E-03
2.431090601320243E-03,2.726376726130459E-01,1.448528553825369E-01,-3.334369141712332E-02,2.752870417729911E-04,3.394712729442635E-03
2.407935119859403E-03,2.726378626288753E-01,1.448552137601312E-01,-3.334408946470509E-02,2.720194063656558E-04,3.397363583069258E-03
2.384779358376548E-03,2.726380503775285E-01,1.448575739732167E-01,-3.334449767472051E-02,2.687574573591534E-04,3.399999257187484E-03
2.361623309855434E-03,2.726382358629272E-01,1.448599360113254E-01,-3.334491593170642E-02,2.655011175697053E-04,3.402619958471662E-03
2.338466967358933E-03,2.726384190889396E-01,1.448622998641317E-01,-3.334534412321094E-02,2.622503109775217E-04,3.405225890494702E-03
2.315310324026966E-03,2.726386000593817E-01,1.448646655214501E-01,-3.334578213971312E-02,2.590049626986123E-04,3.407817253793412E-03
2.292153373074493E-03,2.726387787780179E-01,1.448670329732335E-01,-3.334622987455847E-02,2.557649989636773E-04,3.410394245933739E-03
