time_tag_seconds,record_time,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,ref_freq_band_id,full_ref_freq,ref_freq_int,ref_freq_frac,data_type_id,data_validity,format_id
1862300635,2009-01-05 09:43:55,-322898.158219336,-322898,-158219336,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300645,2009-01-05 09:44:05,-322894.711678504,-322894,-711678504,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300655,2009-01-05 09:44:15,-322891.269122123,-322891,-269122123,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300665,2009-01-05 09:44:25,-322887.714292525,-322887,-714292525,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300675,2009-01-05 09:44:35,-322884.342436789,-322884,-342436789,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300680,2009-01-05 09:44:40,-322882.571049689,-322882,-571049689,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300685,2009-01-05 09:44:45,-322880.801844596,-322880,-801844596,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300695,2009-01-05 09:44:55,-322877.373946189,-322877,-373946189,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300705,2009-01-05 09:45:05,-322873.924655913,-322873,-924655913,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300715,2009-01-05 09:45:15,-322870.504249572,-322870,-504249572,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300725,2009-01-05 09:45:25,-322867.079362868,-322867,-79362868,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300735,2009-01-05 09:45:35,-322863.699308394,-322863,-699308394,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300740,2009-01-05 09:45:40,-322861.959582328,-322861,-959582328,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300745,2009-01-05 09:45:45,-322860.279335975,-322860,-279335975,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300755,2009-01-05 09:45:55,-322856.83642578,-322856,-836425780,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300765,2009-01-05 09:46:05,-322853.358808516,-322853,-358808516,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300775,2009-01-05 09:46:15,-322849.93214321,-322849,-932143210,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300785,2009-01-05 09:46:25,-322846.535375594,-322846,-535375594,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300795,2009-01-05 09:46:35,-322843.09597206,-322843,-95972060,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300800,2009-01-05 09:46:40,-322841.38041973,-322841,-380419730,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300805,2009-01-05 09:46:45,-322839.641234397,-322839,-641234397,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300815,2009-01-05 09:46:55,-322836.235268592,-322836,-235268592,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300825,2009-01-05 09:47:05,-322832.842521666,-322832,-842521666,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300835,2009-01-05 09:47:15,-322829.397741317,-322829,-397741317,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300845,2009-01-05 09:47:25,-322825.988298415,-322825,-988298415,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300855,2009-01-05 09:47:35,-322822.606287955,-322822,-606287955,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300860,2009-01-05 09:47:40,-322820.878987311,-322820,-878987311,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300865,2009-01-05 09:47:45,-322819.159597396,-322819,-159597396,63,0,2,2299812417.0,137079,8424936,11,0,2
1862300875,2009-01-05 09:47:55,-322815.782265662,-322815,-782265662,63,0,2,2299812417.0,137079,8424936,11,0,2
